"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"THSD1",-2.32841681092646,6.48054912891986,-18.8323315339979,6.05191133142755e-62,7.1405597490924e-60,130.241828632288
"COL10A1",4.64772003949321,8.89736898954704,18.8261533007028,6.50419497711368e-62,7.63034987886536e-60,130.170119083267
"SPAG4",2.97812905380947,7.13972491289199,18.8189271941949,7.07620525681106e-62,8.25423260922336e-60,130.086254024003
"SEMA6A",-2.92442183314138,7.18365679442509,-18.7755617644176,1.17332377195091e-61,1.36092299650577e-59,129.583119827031
"ADRB2",-3.5192240019747,6.61207926829268,-18.7362639754664,1.85495539715989e-61,2.13945136537599e-59,129.127415216571
"CA4",-5.84214168504201,4.21560296167247,-18.7221741021837,2.18589401410883e-61,2.50706168210359e-59,128.964081479945
"RECQL4",3.10373599802537,8.05198205574914,18.721210093321,2.21058176935439e-61,2.52129131804697e-59,128.952907488628
"ATIC",1.24028519664309,10.8462604529617,18.6832152759179,3.44109995615517e-61,3.90308188397048e-59,128.512612498021
"TUBB3",3.91022900115192,10.1195149825784,18.6755039726208,3.76437073455628e-61,4.24629292200222e-59,128.423277830873
"SOX7",-2.98629188744449,6.97400383275261,-18.6690612183397,4.05760399671606e-61,4.55205519413009e-59,128.348645972971
"MGAT3",-3.84296368932042,7.01344477351916,-18.6674441083069,4.13471925983355e-61,4.61335795675993e-59,128.329914596106
"BTNL9",-4.08473136415999,6.25430574912893,-18.6427641392273,5.51075284723247e-61,6.11544626776663e-59,128.044089116326
"STIL",2.43299106796119,7.50161010452962,18.6251950978137,6.76088923346542e-61,7.46242236360457e-59,127.840672996097
"CDC6",3.29280655586641,7.98840836236934,18.6203640345174,7.15181387012624e-61,7.85169725955571e-59,127.784746622736
"ERCC6L",2.8536528254073,5.96887717770035,18.617670050397,7.3795318605352e-61,8.05860580302062e-59,127.753561487874
"KANK2",-1.66126086884977,10.7998179442509,-18.5972408232533,9.35926072085958e-61,1.01664350581612e-58,127.517111762314
"PPAT",1.84661840710879,8.36463292682926,18.5685479660551,1.30664491085868e-60,1.41186421157519e-58,127.185125257064
"PLEKHN1",3.32893407602439,6.32002073170732,18.5338002464517,1.95695746876875e-60,2.10347313266086e-58,126.783250718237
"STARD8",-2.28832481158468,7.80354390243902,-18.5131611707928,2.48736583676799e-60,2.65966774108577e-58,126.544637790544
"EMCN",-3.04880532499591,7.80173972125435,-18.5082470485204,2.63351222865415e-60,2.8013474639518e-58,126.487834267874
"PNPLA6",-1.51093509297352,10.5079717770035,-18.4930411775307,3.14232311482997e-60,3.3253553374979e-58,126.312089738539
"LGI3",-6.63778600625314,4.88922055749129,-18.4917730006758,3.18895394106662e-60,3.35739612359475e-58,126.297434189152
"SASH1",-1.94395881849599,9.434162543554,-18.4712018896965,4.04953816646502e-60,4.24168462028198e-58,126.059741466841
"HBA2",-4.79004215237786,8.77310731707318,-18.4590534517184,4.66301427620848e-60,4.85947629901321e-58,125.919401233138
"BMPR2",-1.35251033733751,11.1612717770035,-18.4583181209444,4.70299476869154e-60,4.8763880101635e-58,125.910907346994
"C16orf88",1.27825190389996,8.39582804878049,18.4519198219563,5.06564814148349e-60,5.22601790676663e-58,125.83700348818
"MMRN2",-2.20937733421098,8.92361724738676,-18.4428762036307,5.62637429444981e-60,5.77547321325273e-58,125.732555746726
"C14orf132",-3.02907304261974,8.21906411149826,-18.4401196474371,5.8093126543706e-60,5.93359148229992e-58,125.700721933935
"RPL13AP17",-5.22611315780816,2.98600470383275,-18.4355302623356,6.12716028485906e-60,6.22725745782953e-58,125.647724544481
"BIRC5",3.80856325160444,7.61947038327526,18.421911809583,7.17628390165767e-60,7.24471202619146e-58,125.490480742582
"CCNB2",3.17022307059407,7.89876898954705,18.4216414136923,7.19883708398957e-60,7.24471202619146e-58,125.487358947171
"CDCA3",3.21697025835119,6.8277925087108,18.4173422414721,7.56708339573329e-60,7.57815717631242e-58,125.437725373459
"PDLIM2",-1.97637778180025,9.23390296167248,-18.4141323589572,7.85424180614677e-60,7.82755263496083e-58,125.400669470597
"FAM150B",-3.85425289781145,3.21878205574913,-18.4064069740237,8.59077507520989e-60,8.52022281613812e-58,125.311491893742
"SOX17",-2.70021534309695,5.48435156794425,-18.3856804808793,1.09257810413132e-59,1.078395599895e-57,125.072283730081
"CSRNP1",-2.26626145466515,10.0405224738676,-18.3841917784684,1.11160742692045e-59,1.09192825237688e-57,125.055104992988
"C7orf45",-1.10878130656575,0.309489198606272,-18.3653807008568,1.38259212996879e-59,1.35164840134568e-57,124.838067012399
"LMO2",-2.00480420931382,7.88961027874565,-18.3633426022304,1.41565543637323e-59,1.37741261178874e-57,124.814555303077
"GRIA1",-5.16049097910158,4.0188393728223,-18.3377415306626,1.90482511037148e-59,1.84462544886445e-57,124.519275846505
"GRASP",-2.5087627447754,7.09415574912893,-18.331907488165,2.03808472935972e-59,1.96440748796972e-57,124.452001581944
"FRMD3",-3.10689860457465,3.99274651567945,-18.3313356086476,2.05163834268869e-59,1.96823061567284e-57,124.445407347945
"ANLN",3.56194596675995,8.93602090592335,18.3293202170533,2.10012505264336e-59,2.00537522468689e-57,124.42216867359
"ASPM",3.42379680763538,7.88075818815332,18.3235434586247,2.24553865134085e-59,2.13430132000128e-57,124.355562836627
"C16orf75",2.27106837913446,7.85086324041811,18.2976701032451,3.03051642791929e-59,2.86711992005452e-57,124.057310540489
"EFNA3",2.61780313641601,6.91135801393728,18.2816790878953,3.64720928724129e-59,3.43473425078274e-57,123.873030540412
"FAM46B",-3.19016373539578,6.75480609756097,-18.2781932482613,3.79746753268033e-59,3.55990906145786e-57,123.832865391695
"RAD54L",3.33492457791676,6.41660226480835,18.2718511818506,4.08687868212825e-59,3.81380087927695e-57,123.75979485022
"COLEC10",-3.1260335033734,2.19078013937283,-18.2662496982848,4.36076071653095e-59,4.05096911811676e-57,123.695262486801
"LRRN3",-3.54830741155178,4.94850052264808,-18.2640071855278,4.47547863758154e-59,4.13880974907879e-57,123.669428878232
"UPK3B",-5.88890466019422,5.99580087108014,-18.2602904146114,4.67228941966685e-59,4.30143954196235e-57,123.626613732369
"SPTBN2",2.5971730886951,9.579968815331,18.2430740096786,5.70284732124681e-59,5.22676140648201e-57,123.428320027777
"KIF14",3.52885464209317,6.66058519163762,18.2374147875511,6.08893038052849e-59,5.55581069832222e-57,123.363149413603
"SLC6A13",-3.11369490538097,1.95559285714286,-18.2337762300847,6.35083828300234e-59,5.76914645796629e-57,123.321251226319
"FMO2",-3.74120912292253,9.13822160278746,-18.2229728292888,7.19666422695034e-59,6.50870117089385e-57,123.196862436564
